name,date,time_zone,country,state,city,venue
UFC 322: Della Maddalena vs. Makhachev,2025-11-15T23:00Z,GMT-05:00,USA,New York,New York City,Madison Square Garden
UFC Fight Night: Bonfim vs. Brown,2025-11-08T21:00Z,GMT-08:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Garcia vs. Onama,2025-11-01T20:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC 321: Aspinall vs. Gane,2025-10-25T14:00Z,GMT+04:00,United Arab Emirates,Abu Dhabi,Abu Dhabi,Etihad Arena
UFC Fight Night: De Ridder vs. Allen,2025-10-18T20:00Z,GMT-07:00,Canada,British Columbia,Vancouver,Rogers Arena
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11T20:00Z,GMT-03:00,Brazil,Rio de Janeiro,Rio de Janeiro,Farmasi Arena
UFC 320: Ankalaev vs. Pereira 2,2025-10-04T22:00Z,GMT-07:00,USA,Nevada,Las Vegas,T-Mobile Arena
UFC Fight Night: Ulberg vs. Reyes,2025-09-27T23:00Z,GMT+08:00,Australia,Western Australia,Perth,RAC Arena
UFC Fight Night: Lopes vs. Silva,2025-09-13T19:00Z,GMT-05:00,USA,Texas,San Antonio,Frost Bank Center
UFC Fight Night: Imavov vs. Borralho,2025-09-06T16:00Z,GMT+02:00,France,Ile-de-France,Paris,Accor Arena
UFC Fight Night: Walker vs. Zhang,2025-08-23T07:00Z,GMT+08:00,China,Hebei,Shanghai,Shanghai Indoor Arena
UFC 319: Du Plessis vs. Chimaev,2025-08-16T22:30Z,GMT-05:00,USA,Illinois,Chicago,United Center
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09T20:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Taira vs. Park,2025-08-02T22:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Whittaker vs. De Ridder,2025-07-26T16:00Z,GMT+04:00,United Arab Emirates,Abu Dhabi,Abu Dhabi,Etihad Arena
UFC 318: Holloway vs. Poirier 3,2025-07-19T22:00Z,GMT-05:00,USA,Louisiana,New Orleans,Smoothie King Center
UFC Fight Night: Lewis vs. Teixeira,2025-07-12T22:00Z,GMT-05:00,USA,Tennessee,Nashville,Bridgestone Arena
UFC 317: Topuria vs. Oliveira,2025-06-28T23:00Z,GMT-07:00,USA,Nevada,Las Vegas,T-Mobile Arena
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21T16:00Z,GMT+04:00,Azerbaijan,,Baku,Baku Crystal Hall
UFC Fight Night: Usman vs. Buckley,2025-06-14T23:00Z,GMT-04:00,USA,Georgia,Atlanta,State Farm Arena
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07T22:00Z,GMT-04:00,USA,New Jersey,Newark,Prudential Center
UFC Fight Night: Blanchfield vs. Barber,2025-05-31T22:30Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Burns vs. Morales,2025-05-17T20:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC 315: Muhammad vs. Della Maddalena,2025-05-10T22:30Z,GMT-04:00,Canada,Quebec,Montreal,Bell Centre
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03T23:00Z,GMT-05:00,USA,Iowa,Des Moines,Wells Fargo Arena
UFC Fight Night: Machado Garry vs. Prates,2025-04-26T22:00Z,GMT-05:00,USA,Missouri,Kansas City,T-Mobile Center
UFC 314: Volkanovski vs. Lopes,2025-04-12T22:00Z,GMT-04:00,USA,Florida,Miami,Kaseya Center
UFC Fight Night: Emmett vs. Murphy,2025-04-05T22:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Moreno vs. Erceg,2025-03-29T20:00Z,GMT-06:00,Mexico,Distrito Federal,Mexico City,Arena CDMX
UFC Fight Night: Edwards vs. Brady,2025-03-22T17:00Z,GMT+00:00,United Kingdom,England,London,The O2 Arena
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15T20:00Z,GMT-07:00,USA,Nevada,Las Vegas,UFC Apex
UFC 313: Pereira vs. Ankalaev,2025-03-09T00:00Z,GMT-08:00,USA,Nevada,Las Vegas,T-Mobile Arena
UFC Fight Night: Kape vs. Almabayev,2025-03-01T21:30Z,GMT-08:00,USA,Nevada,Las Vegas,UFC Apex
UFC Fight Night: Cejudo vs. Song,2025-02-22T23:00Z,GMT-08:00,USA,Washington,Seattle,Climate Pledge Arena
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15T21:00Z,GMT-08:00,USA,Nevada,Las Vegas,UFC Apex
