name,nickname,place_of_birth,age,height,reach,leg_reach,fighting_style,ufc_debut_date,professional_record,ko_tko_wins,decision_wins,submission_wins,is_active
Danny Abbadi,"""The Assassin""","Orlando, United States",39.0,71.0,,,,"Jun. 24, 2006",2-2-0 (W-L-D),0.0,0.0,0.0,False
Nariman Abbassov,,Kazakhstan,29.0,,,,,"Dec. 29, 2025",0-1-0 (W-L-D),0.0,0.0,0.0,True
Tank Abbott,"""Tank""","Huntington Beach, United States",,72.0,,,,"Jul. 14, 1995",8-10-0 (W-L-D),0.0,0.0,0.0,False
Hamdy Abdelwahab,"""The Hammer""",Egypt,32.0,74.0,72.0,41.0,Wrestler,"Jul. 30, 2022",7-1-0 (W-L-D),5.0,2.0,0.0,False
Mansur Abdul-Malik,,"Pittsburgh, United States",28.0,74.0,79.5,43.0,Freestyle,"Nov. 9, 2024",9-0-1 (W-L-D),7.0,0.0,2.0,True
Shamil Abdurakhimov,"""Abrek""","Dagestan Republic, Russia",41.0,75.0,76.0,41.5,Grappler,"Apr. 4, 2015",20-8-0 (W-L-D),9.0,7.0,4.0,False
Daichi Abe,,Japan,31.0,69.0,71.5,42.0,,"Sep. 22, 2017",6-1-0 (W-L-D),4.0,2.0,0.0,False
Papy Abedi,"""Makambo""",,44.0,71.0,74.0,,,"Nov. 5, 2011",9-3-0 (W-L-D),5.0,2.0,2.0,False
Klidson Abreu,"""White Bear""","Manaus, Brazil",30.0,74.0,74.0,40.0,Brazilian Jiu-Jitsu,"Feb. 23, 2019",15-4-0 (W-L-D),4.0,1.0,10.0,False
Ricardo Abreu,"""Demente""","Dourados, Brazil",39.0,71.0,73.0,,,"May. 31, 2014",5-1-0 (W-L-D),3.0,0.0,2.0,False
John Adajar,,,31.0,,,,,"Jun. 10, 2022",0-1-0 (W-L-D),0.0,0.0,0.0,False
Juan Adams,"""The Kraken""","Houston, United States",31.0,77.0,80.0,42.5,MMA,"Dec. 15, 2018",5-3-0 (W-L-D),5.0,0.0,0.0,False
Scott Adams,,"San Luis Obispo, United States",49.0,72.0,,,,"Mar. 10, 2000",6-0-0 (W-L-D),0.0,0.0,0.0,False
Anthony Adams,,"Philadelphia, United States",35.0,73.0,76.5,43.0,,"Dec. 29, 2025",8-2-0 (W-L-D),0.0,0.0,0.0,False
Zarrukh Adashev,"""The Lion""","Samarkand, Uzbekistan",30.0,65.0,65.0,35.0,MMA,"Jun. 13, 2020",4-4-0 (W-L-D),2.0,2.0,0.0,False
Israel Adesanya,"""The Last Stylebender""","Lagos, Nigeria",36.0,76.0,80.0,44.5,Freestyle,"Feb. 11, 2018",24-5-0 (W-L-D),16.0,8.0,0.0,True
Sam Adkins,,United States,60.0,72.0,,,,"Feb. 16, 1996",0-0-0 (W-L-D),0.0,0.0,0.0,False
