event,weight_class,weigh,accolades,possible_rounds,card_segment,fight_order,status,winner,round,time,method,ending_submission,fight_of_the_night,referee,red_corner,total_strikes_attempted_red,total_strikes_landed_red,significant_strikes_attempted_red,significant_strikes_landed_red,knockdowns_red,head_significant_strikes_red,body_significant_strikes_red,leg_significant_strikes_red,distance_significant_strikes_red,clinch_significant_strikes_red,ground_significant_strikes_red,takedowns_attempted_red,takedowns_landed_red,submission_attempts_red,reversals_red,clinch_control_time_red,ground_control_time_red,ko_of_the_night_red,submission_of_the_night_red,performance_of_the_night_red,blue_corner,total_strikes_attempted_blue,total_strikes_landed_blue,significant_strikes_attempted_blue,significant_strikes_landed_blue,knockdowns_blue,head_significant_strikes_blue,body_significant_strikes_blue,leg_significant_strikes_blue,distance_significant_strikes_blue,clinch_significant_strikes_blue,ground_significant_strikes_blue,takedowns_attempted_blue,takedowns_landed_blue,submission_attempts_blue,reversals_blue,clinch_control_time_blue,ground_control_time_blue,ko_of_the_night_blue,submission_of_the_night_blue,performance_of_the_night_blue
UFC 321: Aspinall vs. Gane,Heavyweight,206-265,Belt,5.0,Main,1.0,Final,no contests,1.0,4:35,Could Not Continue,,False,Jason Herzog,Tom Aspinall,39.0,27.0,39.0,27.0,0.0,14.0,5.0,8.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0:00,0:00,False,False,False,Ciryl Gane,40.0,30.0,40.0,30.0,0.0,8.0,9.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0:00,False,False,False
UFC 321: Aspinall vs. Gane,Women's Strawweight,106-115,Belt,5.0,Main,2.0,Final,Mackenzie Dern,5.0,5:00,Decision - Unanimous,,False,Marc Goddard,Virna Jandiroba,331.0,208.0,217.0,106.0,0.0,72.0,20.0,14.0,83.0,20.0,3.0,17.0,9.0,0.0,0.0,1:30,7:37,False,False,False,Mackenzie Dern,372.0,249.0,231.0,118.0,0.0,84.0,21.0,13.0,89.0,8.0,21.0,8.0,2.0,0.0,0.0,2:37,1:08,False,False,False
UFC 321: Aspinall vs. Gane,Bantamweight,126-135,Regular,3.0,Main,3.0,Final,Umar Nurmagomedov,3.0,5:00,Decision - Unanimous,,False,Jason Herzog,Umar Nurmagomedov,105.0,81.0,54.0,32.0,0.0,24.0,6.0,2.0,23.0,2.0,7.0,14.0,11.0,0.0,0.0,2:15,8:31,False,False,False,Mario Bautista,67.0,33.0,54.0,20.0,1.0,6.0,11.0,3.0,17.0,2.0,1.0,1.0,0.0,1.0,0.0,0:04,0:00,False,False,False
UFC 321: Aspinall vs. Gane,Heavyweight,206-265,Regular,3.0,Main,4.0,Final,Alexander Volkov,3.0,5:00,Decision - Split,,False,Marc Goddard,Alexander Volkov,130.0,123.0,27.0,24.0,0.0,19.0,5.0,0.0,1.0,6.0,17.0,0.0,0.0,0.0,1.0,0:43,2:14,False,False,False,Jailton Almeida,33.0,27.0,10.0,9.0,0.0,8.0,1.0,0.0,1.0,4.0,4.0,9.0,7.0,0.0,0.0,0:00,10:47,False,False,False
UFC 321: Aspinall vs. Gane,Light Heavyweight,186-205,Regular,3.0,Main,5.0,Final,Azamat Murzakanov,1.0,3:11,KO/TKO,,False,Rich Mitchell,Aleksandar Rakic,18.0,13.0,14.0,9.0,0.0,0.0,3.0,6.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0:36,0:00,False,False,False,Azamat Murzakanov,9.0,4.0,8.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0:00,0:02,False,False,False
UFC 321: Aspinall vs. Gane,Lightweight,146-155,Regular,3.0,Prelims1,6.0,Final,Quillan Salkilld,1.0,2:30,KO/TKO,,False,Kerry Hatley,Nasrat Haqparast,13.0,10.0,13.0,10.0,0.0,7.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0:00,0:00,False,False,False,Quillan Salkilld,36.0,14.0,36.0,14.0,1.0,6.0,7.0,1.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0:00,0:00,False,False,True
UFC 321: Aspinall vs. Gane,Middleweight,171-185,Regular,3.0,Prelims1,7.0,Final,Ikram Aliskerov,3.0,5:00,Decision - Unanimous,,False,Rich Mitchell,Ikram Aliskerov,174.0,126.0,134.0,91.0,0.0,57.0,26.0,8.0,79.0,3.0,9.0,7.0,5.0,0.0,0.0,0:42,5:25,False,False,False,JunYong Park,151.0,91.0,132.0,78.0,0.0,57.0,18.0,3.0,73.0,2.0,3.0,0.0,0.0,0.0,0.0,0:19,0:00,False,False,False
UFC 321: Aspinall vs. Gane,Lightweight,146-155,Regular,3.0,Prelims1,8.0,Final,Ludovit Klein,3.0,5:00,Decision - Majority,,True,Marc Goddard,Ludovit Klein,149.0,90.0,140.0,82.0,0.0,69.0,9.0,4.0,72.0,0.0,10.0,0.0,0.0,0.0,0.0,0:00,0:00,False,False,False,Mateusz Rebecki,208.0,113.0,159.0,72.0,0.0,55.0,11.0,6.0,45.0,4.0,23.0,12.0,3.0,0.0,0.0,1:17,3:46,False,False,False
UFC 321: Aspinall vs. Gane,Heavyweight,206-265,Regular,3.0,Prelims1,9.0,Final,Valter Walker,1.0,1:24,Submission,Heel Hook,False,Kerry Hatley,Valter Walker,7.0,7.0,5.0,5.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0:00,0:31,False,False,True,Louie Sutherland,5.0,3.0,5.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0:00,False,False,False
UFC 321: Aspinall vs. Gane,Featherweight,136-145,Regular,3.0,Prelims1,10.0,Final,Nathaniel Wood,3.0,5:00,Decision - Unanimous,,False,Jason Herzog,Nathaniel Wood,178.0,101.0,176.0,99.0,1.0,63.0,7.0,29.0,88.0,7.0,4.0,3.0,2.0,0.0,0.0,0:36,0:22,False,False,False,Jose Delgado,239.0,141.0,232.0,134.0,1.0,92.0,35.0,7.0,100.0,14.0,20.0,2.0,0.0,0.0,0.0,0:14,1:14,False,False,False
